activeaddresses,difficulty,difficulty30mom,difficulty30rsi,difficulty90mom,hashrate90var,median_transaction_fee30trxUSD,median_transaction_feeUSD,mining_profitability,mining_profitability90rsi,price30smaUSD,price30wmaUSD,price3emaUSD,price3wmaUSD,price7smaUSD,price90wmaUSD,sentinusd90emaUSD,sentinusd90smaUSD,size90trx,transactionvalueUSD,priceUSD
449075,6197839919507.0,834161458026.0,92.274,2053961444753.0,2.760761348466e+37,-1.415,0.0695,0.23800000000000002,46.758,7278.0,7264.0,6345.0,6302.0,6639.0,7026.0,7811464693,7497521337,-0.129,25729.0,6307.0
399762,6389316883512.0,1025638422031.0,93.52,2245438408758.0,2.8092144043721e+37,-1.4269999999999998,0.0556,0.237,46.742,7279.0,7202.0,6331.0,6292.0,6540.0,7008.0,7723669807,7418325487,-0.127,23148.0,6312.0
490801,6389316883512.0,1025638422031.0,93.52,2245438408758.0,2.8016250594914e+37,-1.4369999999999998,0.10099999999999999,0.259,46.963,7283.0,7142.0,6343.0,6316.0,6447.0,6991.0,7682273544,7380817147,-0.126,26298.0,6287.0
535762,6389316883512.0,1025638422031.0,93.52,2245438408758.0,2.8227959109170997e+37,-1.4409999999999998,0.139,0.22699999999999998,46.684,7274.0,7064.0,6203.0,6203.0,6314.0,6968.0,7669299388,7353651927,-0.125,28656.0,6450.0
475594,6389316883512.0,1025638422031.0,93.52,2245438408758.0,2.8836020455276e+37,-1.442,0.114,0.271,47.114,7268.0,7006.0,6290.0,6269.0,6303.0,6952.0,7648150257,7331388428,-0.124,27275.0,6507.0
547322,6389316883512.0,1189701581337.0,93.52,2245438408758.0,2.8442907889406997e+37,-1.4369999999999998,0.14,0.253,46.957,7250.0,6947.0,6321.0,6312.0,6296.0,6937.0,7606976403,7294461749,-0.122,24872.0,6523.0
584759,6389316883512.0,1210645814440.0,93.52,2245438408758.0,2.8608124253169997e+37,-1.43,0.111,0.254,46.973,7219.0,6897.0,6398.0,6417.0,6305.0,6925.0,7562150018,7287500711,-0.121,23829.0,6491.0
459134,6389316883512.0,1210645814440.0,93.52,2245438408758.0,2.9348065209646997e+37,-1.426,0.0884,0.256,46.99100000000001,7188.0,6848.0,6428.0,6446.0,6342.0,6912.0,7490328681,7267156353,-0.12,22510.0,6408.0
408184,6389316883512.0,1210645814440.0,93.52,2245438408758.0,2.90139836169e+37,-1.426,0.057999999999999996,0.24,46.843999999999994,7154.0,6798.0,6420.0,6438.0,6356.0,6900.0,7409863890,7231100536,-0.12,22894.0,6307.0
524775,6389316883512.0,1210645814440.0,93.52,2245438408758.0,2.9102130107320997e+37,-1.4169999999999998,0.16699999999999998,0.265,47.106,7124.0,6753.0,6441.0,6445.0,6371.0,6889.0,7368841000,7207866984,-0.11900000000000001,25803.0,6352.0
534176,6389316883512.0,1210645814440.0,93.52,2245438408758.0,2.860424165599e+37,-1.396,0.174,0.249,46.958999999999996,7089.0,6707.0,6426.0,6428.0,6421.0,6877.0,7353368380,7188427582,-0.11900000000000001,30625.0,6423.0
574028,6389316883512.0,1210645814440.0,93.52,2170174824499.0,2.8712446934643e+37,-1.37,0.151,0.275,47.224,7053.0,6675.0,6509.0,6510.0,6452.0,6869.0,7322767271,7154470557,-0.11800000000000001,25898.0,6667.0
501871,6389316883512.0,1210645814440.0,93.52,2082367309530.0,2.9180142649658996e+37,-1.3419999999999999,0.127,0.24600000000000002,46.96,6999.0,6635.0,6477.0,6488.0,6465.0,6859.0,7285681346,7137728628,-0.11800000000000001,25945.0,6714.0
577153,6505039002077.0,1326367933005.0,94.348,2198089428096.0,2.9198492535748e+37,-1.315,0.11199999999999999,0.258,47.081,6943.0,6608.0,6521.0,6530.0,6478.0,6851.0,7234674781,7142238066,-0.11699999999999999,22598.0,6712.0
478783,6727225469723.0,1548554400650.0,95.491,2420275895741.0,2.9569082923755003e+37,-1.295,0.0761,0.23600000000000002,46.878,6894.0,6594.0,6626.0,6628.0,6517.0,6847.0,7173086507,7126053820,-0.11699999999999999,22581.0,6645.0
430511,6727225469723.0,1548554400650.0,95.491,2420275895741.0,3.0593252617796003e+37,-1.2819999999999998,0.0598,0.27699999999999997,47.315,6849.0,6581.0,6659.0,6684.0,6557.0,6843.0,7090929379,7058109696,-0.11699999999999999,19904.0,6424.0
595664,6727225469723.0,1548554400650.0,95.491,2420275895741.0,3.2659051301566e+37,-1.275,0.0694,0.27399999999999997,47.286,6801.0,6573.0,6696.0,6719.0,6595.0,6839.0,7078934019,7026973198,-0.11699999999999999,29289.0,6470.0
