difficulty30rsi,difficulty90var,fee_to_reward90rsiUSD,hashrate30var,median_transaction_fee7rocUSD,mining_profitability,price30smaUSD,price3wmaUSD,price7wmaUSD,sentinusd90emaUSD,size90trx,top100cap,transactionvalueUSD,priceUSD
100.0,1.3052780969693e+19,49.303000000000004,9.6196991163294e+31,-7.044,16.409000000000002,618.571,579.849,586.922,333842714,0.107,19.253,3578.0,581.009
100.0,1.3144833987951e+19,49.626999999999995,9.4654232093542e+31,-5.431,14.636,616.0930000000001,576.525,582.68,331837947,0.107,19.255,3486.0,583.85
100.0,1.3243567838672e+19,48.873000000000005,8.269525948857e+31,-0.701,16.082,612.496,588.054,584.78,328179660,0.106,19.363,4101.0,586.5269999999999
100.0,1.3250248671136e+19,49.006,9.0232047215141e+31,-2.1319999999999997,14.698,610.721,586.9780000000001,584.2819999999999,326277477,0.105,19.363,4622.0,588.101
100.0,1.3228472108335e+19,50.146,9.148410039579e+31,0.10099999999999999,14.489,609.261,585.818,584.896,324550297,0.105,19.37,3658.0,583.969
100.0,1.9044714026346e+19,50.021,4.5091032751587e+32,1.472,9.157,498.37199999999996,475.03,476.70599999999996,338201027,0.10300000000000001,19.848,3075.0,456.38
99.213,1.1311079067025e+19,51.066,6.9960809577066e+32,12.360999999999999,2.432,257.384,295.363,289.471,344118485,0.147,19.945,3730.0,449.287
99.94,1.8883601033475e+19,50.685,2.6017660595497e+33,10.327,2.57,350.70300000000003,362.936,361.963,623685695,0.13,20.093,5344.0,417.57599999999996
99.969,2.4644456564363e+19,51.178999999999995,2.5980415556108e+33,4.694,2.371,347.154,390.664,378.495,705758402,0.128,19.953,6531.0,441.485
99.969,2.7033385330547e+19,50.336999999999996,2.5251691447574e+33,7.664,2.8339999999999996,347.591,394.593,384.214,716352944,0.127,19.917,6090.0,456.74199999999996
99.969,2.9301230349803e+19,51.093,2.779550394498e+33,17.41,2.542,349.01300000000003,406.221,394.49,736802509,0.127,20.031,7508.0,456.52099999999996
99.969,3.1447991622126e+19,49.856,3.5603169062479e+33,14.82,3.091,350.673,412.86199999999997,402.051,750205315,0.127,20.044,6357.0,455.108
99.969,3.7161772957514e+19,51.254,4.6619402802172e+33,10.684000000000001,2.537,361.42900000000003,433.89599999999996,425.082,817116621,0.128,20.002,12143.0,453.64099999999996
99.969,4.3540874821236e+19,51.418,5.5931412791608e+33,9.516,2.887,377.81800000000004,455.851,449.211,918596518,0.13,19.804000000000002,8825.0,454.111
99.97399999999999,4.5757168857843e+19,50.992,4.9055172484237e+33,6.325,2.9760000000000004,382.009,457.48199999999997,452.99699999999996,939371983,0.13,19.812,8838.0,454.51099999999997
99.991,1.3038682486894e+20,49.943999999999996,7.0851456947948e+33,-6.318,2.0469999999999997,424.30199999999996,426.55400000000003,426.319,1058674384,0.141,19.505,3189.0,447.94599999999997
99.993,1.4131276129475e+20,49.248000000000005,6.544425703598799e+33,-4.896,2.0540000000000003,426.855,429.43300000000005,427.105,1044471001,0.141,19.532,3327.0,454.849
99.993,1.5178072820268e+20,50.721000000000004,5.8353821544718e+33,1.124,2.248,429.23199999999997,431.60900000000004,428.93,1031363906,0.14,19.527,3010.0,449.909
99.993,1.6179072559273e+20,49.668,5.0783919305113997e+33,2.877,2.016,431.542,431.092,429.592,1017139734,0.14,19.514,2697.0,444.408
99.993,1.7134275346491e+20,49.747,5.1269859396696e+33,1.817,2.314,433.44300000000004,431.20599999999996,430.461,1004869103,0.14,19.554000000000002,2536.0,447.17400000000004
99.993,1.8043681181921e+20,50.492,5.2970867394707e+33,1.681,2.025,434.728,431.605,431.161,995976186,0.139,19.562,3294.0,445.538
99.999,4.6868193841443e+20,50.443999999999996,2.4693383595631003e+34,0.6990000000000001,1.462,387.44300000000004,379.491,378.605,1915354732,0.168,19.529,4579.0,420.74300000000005
99.999,4.8343343786869e+20,50.403999999999996,2.7218274025842e+34,-1.265,1.2830000000000001,385.92400000000004,381.75699999999995,379.525,1895655019,0.16899999999999998,19.567,5036.0,420.70099999999996
99.999,5.3450237964569e+20,51.356,1.8930665254298e+34,9.243,1.6059999999999999,387.289,409.76099999999997,402.56300000000005,1843208701,0.171,19.495,7272.0,421.19
99.999,6.8511656836016e+20,51.373999999999995,1.0208836755932e+34,0.608,1.5030000000000001,395.974,423.29900000000004,427.594,1821644374,0.18,19.535,6056.0,421.32300000000004
99.999,7.018012771326e+20,51.486000000000004,9.6611146078631e+33,0.846,1.2,396.974,423.42900000000003,426.57300000000004,1812216395,0.182,19.55,6920.0,419.55699999999996
99.999,7.5918884847161e+20,52.915,6.2913045398898e+33,-0.467,1.266,407.72,426.966,429.833,1955924905,0.19399999999999998,19.441,6705.0,413.80199999999996
99.436,7.6146628938564e+20,51.566,6.1381352882562e+33,11.747,1.3430000000000002,409.29900000000004,422.149,427.222,1981703814,0.196,19.692999999999998,15091.0,419.577
84.645,7.415003804424301e+20,50.398999999999994,6.424643296155001e+33,-1.412,1.294,415.43300000000005,412.99300000000005,411.126,1990502316,0.20600000000000002,19.53,5453.0,418.23400000000004
88.52799999999999,6.5101942253241e+20,49.833999999999996,5.6853024334722e+33,-0.604,1.287,420.13,409.825,412.404,1943951058,0.205,19.42,4079.0,419.43800000000005
88.52799999999999,6.4270040104404e+20,50.698,5.6118465459419e+33,-0.11800000000000001,1.2990000000000002,418.67699999999996,412.606,412.077,1897758286,0.203,19.3,4519.0,417.945
88.52799999999999,6.1068180108314e+20,49.861000000000004,4.5117616494868e+33,2.1390000000000002,1.2990000000000002,417.189,415.88199999999995,415.30800000000005,1806556871,0.19899999999999998,19.988,3933.0,418.13800000000003
88.52799999999999,5.9947286838788e+20,49.718999999999994,4.4618536342871e+33,2.234,1.202,417.028,417.695,416.605,1782832743,0.19699999999999998,19.877,4587.0,417.978
88.52799999999999,5.869822226106e+20,50.45,4.2142547158892e+33,3.345,1.5,416.73400000000004,420.916,418.58,1763027786,0.196,19.963,4501.0,418.564
