difficulty,difficulty30mom,median_transaction_fee14trxUSD,median_transaction_fee3rocUSD,median_transaction_fee3rsiUSD,median_transaction_feeUSD,mediantransactionvalueUSD,mining_profitability7mom,price3wmaUSD,transactionvalue90smaUSD,priceUSD
11187257.0,3148981.0,0.271,1.709,44.535,0.0552,68.267,-538.447,108.34200000000001,2241.0,110.492
11187257.0,2212961.0,0.207,7.88,48.51,0.0564,80.035,-720.4119999999999,111.071,2252.0,112.815
11187257.0,2212961.0,0.147,5.519,48.723,0.0565,57.043,-264.546,112.473,2256.0,112.905
11187257.0,2212961.0,0.092,2.451,49.746,0.0566,75.782,-485.49699999999996,113.037,2262.0,113.2
11187257.0,2212961.0,0.048,2.185,58.515,0.0576,88.835,960.6289999999999,114.191,2271.0,115.28
11187257.0,2212961.0,0.015,3.3480000000000003,64.748,0.0583,92.055,623.738,115.63600000000001,2284.0,116.686
11187257.0,2212961.0,-0.006,4.856,73.342,0.0593,90.044,801.538,117.456,2291.0,118.696
11187257.0,2212961.0,-0.004,8.089,87.15100000000001,0.0623,99.751,357.083,121.315,2303.0,124.605
11450754.0,2476458.0,0.017,9.46,90.889,0.0639,75.408,402.154,125.18,2314.0,127.725
12153412.0,3179116.0,0.052000000000000005,8.47,92.03200000000001,0.0644,84.322,376.06699999999995,127.71700000000001,2318.0,128.75
12153412.0,3179116.0,0.094,3.01,85.81299999999999,0.0642,73.29899999999999,756.653,128.382,2328.0,128.355
12153412.0,3179116.0,0.133,-1.565,51.233000000000004,0.0629,90.398,-404.723,127.10600000000001,2337.0,125.725
12153412.0,3179116.0,0.168,-1.8019999999999998,58.033,0.0632,99.887,130.916,126.516,2349.0,126.43
12153412.0,2298997.0,0.201,-0.865,66.2,0.0636,91.552,-216.545,126.72,2355.0,127.245
12153412.0,2077119.0,0.22899999999999998,0.556,51.15,0.0632,104.96600000000001,-517.452,126.698,2363.0,126.42399999999999
12153412.0,2077119.0,0.257,2.386,78.344,0.0647,72.57,256.743,126.803,2369.0,126.90899999999999
12153412.0,2077119.0,0.272,-2.444,31.755,0.0621,78.22,-409.34,125.441,2376.0,124.135
12153412.0,2077119.0,0.271,-4.8180000000000005,19.381,0.0602,87.36200000000001,-241.262,122.696,2380.0,120.333
12153412.0,2077119.0,0.257,-7.541,17.625,0.0598,97.318,-87.52,120.64299999999999,2380.0,119.685
13466757.0,3390464.0,0.23600000000000002,-3.2539999999999996,24.154,0.06,82.056,-1317.0,119.99799999999999,2385.0,120.096
15605633.0,5529340.0,0.20800000000000002,-0.785,20.046,0.0597,78.77199999999999,-1739.0,119.67299999999999,2393.0,119.38799999999999
15605633.0,5529340.0,0.17,-3.903,7.779,0.0575,98.73299999999999,-1337.0,117.319,2401.0,115.014
15605633.0,5529340.0,0.11699999999999999,-7.919,4.031000000000001,0.0553,77.985,-2030.0,113.52799999999999,2403.0,110.585
15605633.0,5529340.0,0.047,-11.267999999999999,2.292,0.053,71.689,-1769.0,108.99799999999999,2412.0,105.935
15605633.0,5529340.0,-0.033,-9.524,1.818,0.052000000000000005,80.152,-1851.0,105.772,2409.0,104.06
15605633.0,5304502.0,-0.11199999999999999,-3.6439999999999997,30.519000000000002,0.0533,81.931,-1449.0,105.62,2411.0,106.555
15605633.0,4418375.0,-0.183,1.9969999999999999,44.974,0.054000000000000006,87.854,-346.99699999999996,106.887,2416.0,108.05
15605633.0,4418375.0,-0.247,2.773,36.545,0.0535,106.838,-590.913,107.24799999999999,2391.0,106.945
15605633.0,4418375.0,-0.311,-3.472,17.909000000000002,0.0514,96.777,-332.13199999999995,105.084,2375.0,102.855
15605633.0,4418375.0,-0.377,-7.218999999999999,12.042,0.0501,91.15100000000001,-660.903,102.234,2375.0,100.25
15948723.0,4761465.0,-0.441,-6.162000000000001,13.75,0.0502,56.681999999999995,47.648,100.73700000000001,2344.0,100.355
19339258.0,8152001.0,-0.49700000000000005,-1.954,24.081999999999997,0.0504,65.66,-1029.0,100.583,2334.0,100.846
19339258.0,8152001.0,-0.541,3.404,62.638000000000005,0.0518,82.565,-1145.0,102.17200000000001,2324.0,103.663
19339258.0,8152001.0,-0.569,4.732,73.117,0.0526,75.327,-709.073,103.914,2312.0,105.104
19339258.0,8152001.0,-0.584,4.939,77.796,0.0529,64.72399999999999,-340.925,105.225,2311.0,105.82600000000001
19339258.0,8152001.0,-0.5870000000000001,2.324,79.61,0.053,97.501,-435.66,105.829,2310.0,106.072
19339258.0,8152001.0,-0.586,-1.3630000000000002,36.254,0.0518,73.044,-441.045,104.83,2307.0,103.671
19339258.0,8152001.0,-0.585,-3.9189999999999996,21.608,0.0508,65.53699999999999,-668.8739999999999,103.075,2293.0,101.679
19339258.0,7888504.0,-0.59,-7.16,10.947000000000001,0.0492,80.036,211.173,100.41,2278.0,98.478
19339258.0,7185847.0,-0.599,-6.197,8.523,0.0486,77.311,40.694,98.396,2250.0,97.24700000000001
19339258.0,7185847.0,-0.609,-3.6189999999999998,23.968000000000004,0.049,83.884,-409.577,97.82799999999999,2236.0,98.0
19339258.0,7185847.0,-0.619,-1.9069999999999998,16.292,0.0483,81.02600000000001,-250.378,97.17399999999999,2227.0,96.6
19339258.0,7185847.0,-0.638,-5.147,6.529,0.0461,79.156,-591.502,94.654,2211.0,92.242
20177844.0,8024433.0,-0.667,-8.895,4.053999999999999,0.0446,75.736,-440.751,91.488,2190.0,89.28299999999999
21335329.0,9181917.0,-0.6990000000000001,-7.0089999999999995,13.164000000000001,0.0449,64.357,-538.581,90.04899999999999,2175.0,89.829
21335329.0,9181917.0,-0.7390000000000001,-7.192,6.265,0.0428,105.117,-507.685,87.62700000000001,2147.0,85.60799999999999
21335329.0,9181917.0,-0.7859999999999999,-6.808,4.328,0.0416,99.089,-656.495,85.109,2114.0,83.204
21335329.0,9181917.0,-0.8390000000000001,-9.357000000000001,3.221,0.0407,128.995,-452.775,82.714,2088.0,81.42399999999999
21335329.0,9181917.0,-0.898,-8.347999999999999,1.966,0.0392,84.779,-901.806,80.23899999999999,2061.0,78.461
21335329.0,7868572.0,-0.97,-12.244000000000002,0.948,0.0365,73.85600000000001,-544.351,76.232,2046.0,73.017
21335329.0,5729696.0,-1.061,-18.942,0.474,0.033,52.931000000000004,-649.49,70.416,2034.0,66.0
21335329.0,5729696.0,-1.1520000000000001,-11.102,28.965999999999998,0.0349,56.401,-400.108,69.045,2005.0,69.751
21335329.0,5729696.0,-1.228,0.7290000000000001,50.495,0.0368,74.17399999999999,-247.984,71.025,1955.0,73.54899999999999
21335329.0,5729696.0,-1.291,9.839,44.832,0.0362,92.929,-275.29400000000004,72.388,1887.0,72.494
21335329.0,5729696.0,-1.3319999999999999,8.943,64.57,0.038,108.816,-214.614,74.417,1866.0,75.98899999999999
26107387.0,10501754.0,-1.3419999999999999,10.81,80.809,0.0407,147.352,-259.115,78.161,1857.0,81.5
26162876.0,10557243.0,-1.318,17.250999999999998,86.641,0.0425,101.45700000000001,-380.64099999999996,82.331,1851.0,84.999
26162876.0,10557243.0,-1.263,15.932,90.48100000000001,0.044000000000000004,89.85700000000001,187.533,85.964,1858.0,88.095
26162876.0,10557243.0,-1.185,8.168,90.561,0.0441,59.152,158.08700000000002,87.609,1855.0,88.156
26162876.0,10557243.0,-1.09,5.053999999999999,92.36200000000001,0.0446,79.516,-87.54,88.715,1852.0,89.295
26162876.0,10214153.0,-0.983,2.077,93.406,0.045,102.289,39.472,89.42,1850.0,89.925
26162876.0,6823617.0,-0.8740000000000001,0.7020000000000001,67.96600000000001,0.0444,89.723,9.783999999999999,89.245,1744.0,88.775
26162876.0,6823617.0,-0.772,-3.1489999999999996,37.461999999999996,0.0432,98.708,57.549,87.821,1730.0,86.48299999999999
26162876.0,6823617.0,-0.685,-6.769,21.083000000000002,0.0419,83.83,193.782,85.542,1722.0,83.838
26162876.0,6823617.0,-0.61,-5.539,21.462,0.0419,50.843999999999994,-185.72299999999998,84.289,1708.0,83.85799999999999
26162876.0,6823617.0,-0.546,-3.0,22.353,0.0419,63.232,0.264,83.87,1676.0,83.889
27181693.0,7842434.0,-0.489,0.313,30.43,0.0421,79.024,-360.82,83.98899999999999,1662.0,84.1
31256961.0,11917702.0,-0.436,1.649,62.211000000000006,0.0426,87.404,-436.759,84.635,1636.0,85.24
31256961.0,11917702.0,-0.384,3.023,77.92699999999999,0.0432,86.86200000000001,-350.603,85.64200000000001,1616.0,86.425
31256961.0,11917702.0,-0.33,4.489,87.486,0.0439,85.94200000000001,-181.63299999999998,86.95200000000001,1603.0,87.875
31256961.0,11917702.0,-0.273,4.637,92.131,0.0446,91.31299999999999,-191.89,88.292,1598.0,89.193
31256961.0,11917702.0,-0.218,2.408,71.408,0.0443,54.588,-95.041,88.63,1591.0,88.506
31256961.0,11917702.0,-0.16699999999999998,0.5429999999999999,66.402,0.0442,51.291000000000004,-405.36199999999997,88.544,1554.0,88.353
31256961.0,11079116.0,-0.11199999999999999,2.296,88.719,0.0456,91.241,265.30400000000003,89.822,1541.0,91.241
31256961.0,9921632.0,-0.053,5.1339999999999995,93.055,0.0465,96.48299999999999,338.42699999999996,91.664,1532.0,93.05
31256961.0,9921632.0,0.015,8.656,96.42,0.048,81.197,-22.436,94.223,1530.0,96.0
