activeaddresses30trx,activeaddresses7ema,activeaddresses90std,confirmationtime,confirmationtime3wma,confirmationtime7sma,confirmationtime7wma,confirmationtime90ema,difficulty,fee_to_reward7trxUSD,fee_to_rewardUSD,hashrate30mom,hashrate30std,hashrate30var,hashrate3var,hashrate7std,hashrate90roc,hashrate90rsi,median_transaction_fee30rocUSD,median_transaction_fee3trxUSD,mediantransactionvalue30emaUSD,mediantransactionvalue30wmaUSD,mediantransactionvalue3rocUSD,mediantransactionvalue7rocUSD,mediantransactionvalue7rsiUSD,mediantransactionvalue90trxUSD,mediantransactionvalueUSD,mining_profitability,mining_profitability3sma,price30smaUSD,price3rsiUSD,price7momUSD,sentbyaddress7var,sentinusd90varUSD,sentinusd90wmaUSD,sentinusdUSD,size30rsi,size90mom,size90sma,transactionfeesUSD,transactions3std,category
-0.36,62781.0,32005.0,10.588,10.378,8.951,9.476,8.705,19339258.0,-0.532,1.091,42841711406651.0,43268157811055.0,4.6803337009059e+26,2.2987296405289e+26,22896259159393.0,131.033,56.658,-7.152,0.121,81.5,83.50200000000001,32.894,-14.259,46.437,0.899,75.327,2969.0,2615.0,115.556,73.145,-2.946,45566665.0,8614377731736515.0,99735968,60876846.0,51.258,33216.0,160440.0,0.0838,999.105,1
-0.374,63997.0,32107.0,9.351,9.919,9.18,9.576,8.719,19339258.0,1.314,1.788,64967748628794.0,40802819516081.0,4.1621752011546e+26,1.0756017950004e+26,20773612365907.0,161.754,58.938,-8.201,0.495,80.418,82.17200000000001,-1.425,-39.419000000000004,40.765,0.89,64.72399999999999,2897.0,2804.0,115.241,77.82300000000001,-1.119,46140990.0,8634615242650621.0,98606281,76698237.0,51.053000000000004,27686.0,160748.0,0.141,5694.0,1
-0.385,65272.0,32068.0,8.571,9.167,9.262,9.424,8.716000000000001,19339258.0,1.995,1.0170000000000001,63313397166691.0,39814291532345.0,3.9629445255563e+26,1.6018730185354e+26,21598418775609.0,189.71900000000002,59.788000000000004,-9.096,0.618,81.52,83.009,18.090999999999998,0.7490000000000001,58.88,0.8809999999999999,97.501,2966.0,2944.0,114.887,79.635,3.217,29281917.0,8650472203258222.0,97448406,75161721.0,48.29,6887.0,160824.0,0.0973,5170.0,0
-0.397,63598.0,32321.0,8.182,8.506,9.242,9.154,8.704,19339258.0,2.42,1.252,78619470955059.0,40481571079571.0,4.0968939926759995e+26,1.1560160502156e+26,27257300765924.0,180.519,61.42,-12.658,0.28,80.973,82.256,-3.031,-19.865,46.5,0.872,73.044,2732.0,2865.0,114.38600000000001,36.253,3.4210000000000003,25748629.0,8682229846182568.0,95623708,44643504.0,46.845,-12333.0,160687.0,0.13,6644.0,0
-0.41200000000000003,60713.0,32747.0,8.727,8.519,9.377,9.025,8.705,19339258.0,1.8880000000000001,0.795,73060401734347.0,40983769972028.0,4.1991735028002e+26,6.3858327542144e+25,30724481614935.0,223.088,61.317,-18.399,-0.218,79.977,81.055,1.256,15.622,43.245,0.863,65.53699999999999,2511.0,2736.0,113.62200000000001,21.605,1.324,24856841.0,8773381262579278.0,93574038,34190220.0,45.783,-61810.0,160000.0,0.0872,7162.0,0
-0.424,61750.0,32881.0,9.6,9.073,9.329,9.081,8.724,19339258.0,1.4280000000000002,1.038,51840337607081.0,39111460061721.0,3.824265770399e+26,1.0598168584388e+26,30161438481601.0,192.359,58.316,-22.899,-0.846,79.98100000000001,80.863,-17.913,21.895,50.979,0.853,80.036,2541.0,2595.0,112.647,10.945,-2.3680000000000003,23873633.0,8822162015524376.0,92102859,59707208.0,48.945,-25986.0,159712.0,0.0875,5582.0,0
-0.436,61658.0,33094.0,9.172,9.241,9.17,9.042,8.734,19339258.0,0.769,0.857,49345954586208.0,37523347424978.0,3.5200040049389e+26,9.3690202000608e+25,29877169024314.0,225.843,58.511,-24.468000000000004,-1.228,79.809,80.486,5.843,-6.3629999999999995,49.5,0.8440000000000001,77.311,2585.0,2546.0,111.59700000000001,8.521,-6.415,23783302.0,8763180972157677.0,90861831,69372457.0,48.188,-62748.0,159014.0,0.0739,5610.0,1
-0.444,62492.0,33134.0,8.276,8.795,8.84,8.818,8.724,19339258.0,0.22399999999999998,0.9209999999999999,63306262923617.0,37763379181493.0,3.5651820180131e+26,9.133368625377999e+25,21134546073492.0,214.28599999999997,60.278,-23.65,-1.1520000000000001,80.072,80.547,27.995,11.36,53.312,0.835,83.884,2560.0,2562.0,110.585,23.967,-7.104,20556694.0,8794983623503582.0,89473553,61035647.0,47.449,-54573.0,158408.0,0.0869,1145.0,0
-0.45299999999999996,62125.0,33380.0,8.623,8.599,8.736,8.764,8.722000000000001,19339258.0,-0.48100000000000004,0.7340000000000001,57179266682962.0,35162742301281.0,3.0910461153657e+26,6.6794106940994e+25,18461344169183.0,159.89,58.369,-23.166,-1.088,80.133,80.402,1.237,25.188000000000002,51.346000000000004,0.825,81.02600000000001,2646.0,2597.0,109.61399999999999,16.291,-9.226,18463099.0,8847118403310526.0,87957508,54164327.0,48.208999999999996,-50423.0,157848.0,0.0646,1236.0,0
-0.457,63747.0,33467.0,8.521,8.514,8.729,8.71,8.717,19339258.0,-0.537,1.129,65383233489115.0,33620526037929.0,2.8258494276677003e+26,4.139945978848e+25,18369874828168.0,185.704,59.483000000000004,-27.041,-1.472,80.07,80.156,2.386,-18.815,49.94,0.816,79.156,2374.0,2527.0,108.475,6.528,-13.83,19698274.0,8873459012771366.0,86597874,60481929.0,49.108999999999995,-52411.0,157265.0,0.0898,3490.0,0
