difficulty30ema,difficulty30rsi,difficulty30sma,difficulty30wma,difficulty3ema,difficulty3sma,difficulty3wma,difficulty7ema,difficulty7sma,difficulty7wma,difficulty90mom,difficulty90roc,fee_to_rewardUSD,hashrate7var,hashrate90var,median_transaction_fee30trxUSD,median_transaction_fee7trxUSD,median_transaction_feeUSD,mining_profitability,price90emaUSD,price90wmaUSD,sentinusd90smaUSD,size90trx,top100cap,transactions,transactionvalueUSD,priceUSD
4368914279.0,100.0,4346460442.0,4589148876.0,5005402201.0,5006860589.0,5006860589.0,4949320037.0,5006860589.0,5006860589.0,3600788951.0,256.089,0.26899999999999996,5.6726999286548e+30,8.6250253954886e+31,-0.45,-1.766,0.0466,52.707,621.311,625.773,479315248,0.26,19.37,66716,5175.0,649.274
4410072106.0,100.0,4386165002.0,4631755337.0,5006131395.0,5006860589.0,5006860589.0,4963705175.0,5006860589.0,5006860589.0,3588379194.0,252.97299999999998,0.264,1.635791145e+31,9.162359895553e+31,-0.465,-1.868,0.0435,42.285,617.215,620.099,475223170,0.26,19.317,66820,5069.0,645.747
4448574589.0,100.0,4425869561.0,4671800214.0,5006495992.0,5006860589.0,5006860589.0,4974494029.0,5006860589.0,5006860589.0,3588379194.0,252.97299999999998,0.27699999999999997,1.9496254731751e+31,9.4903768119941e+31,-0.48100000000000004,-1.9180000000000001,0.0444,44.018,613.4169999999999,614.719,472822413,0.259,19.243,65497,4489.0,643.645
4520281992.0,100.0,4484013413.0,4744972458.0,5283267669.0,5191253508.0,5283449968.0,5120880358.0,5085886126.0,5145155279.0,4141557951.0,291.971,0.261,2.5900605499065e+31,1.0005886710039e+32,-0.498,-1.891,0.0452,36.63,609.865,609.5980000000001,467535237,0.258,19.215,55624,5972.0,636.5790000000001
4623471934.0,100.0,4560813489.0,4850502308.0,5701496879.0,5562208675.0,5747686258.0,5370591791.0,5244866912.0,5403615269.0,4701244694.0,331.42800000000005,0.27399999999999997,1.8992507733512e+31,1.0149332032285e+32,-0.514,-1.786,0.0459,38.632,606.556,604.746,459473187,0.257,19.264,49859,4063.0,629.756
4720004460.0,100.0,4637613566.0,4951077315.0,5910611484.0,5933163842.0,6026444965.0,5557875366.0,5403847697.0,5622330064.0,4701244694.0,331.42800000000005,0.375,1.2103116015204e+31,1.0315228211111e+32,-0.53,-1.651,0.0454,37.171,603.2040000000001,599.9,452948582,0.255,19.267,65659,3183.0,632.7869999999999
4810309081.0,100.0,4714413642.0,5046697477.0,6015168787.0,6119726089.0,6119726089.0,5698338046.0,5562828483.0,5801299662.0,4701244694.0,331.42800000000005,0.44,1.3698064441026e+31,1.0355145811766e+32,-0.546,-1.508,0.0451,34.871,599.868,595.109,448090433,0.255,19.221,67707,3030.0,626.639
4894787598.0,100.0,4791213718.0,5137362797.0,6067447438.0,6119726089.0,6119726089.0,5803685057.0,5721809269.0,5940524063.0,4701244694.0,331.42800000000005,0.502,1.1403335383743e+31,1.0494432555915e+32,-0.561,-1.3730000000000002,0.0447,38.678000000000004,596.511,590.321,445665827,0.254,19.211,64992,4115.0,621.123
4973815888.0,100.0,4868013795.0,5223073272.0,6093586764.0,6119726089.0,6119726089.0,5882695315.0,5880790054.0,6040003268.0,4701244694.0,331.42800000000005,0.371,8.6648344294578e+30,1.0766187776127e+32,-0.578,-1.368,0.0408,31.916999999999998,592.361,584.764,444191872,0.254,19.166,67872,4876.0,621.434
5047745578.0,100.0,4944813871.0,5303828904.0,6106656426.0,6119726089.0,6119726089.0,5941953009.0,6039770840.0,6099737277.0,4701244694.0,331.42800000000005,0.33,8.2814546973959e+30,1.0872373791912e+32,-0.595,-1.4180000000000001,0.0403,36.814,588.207,579.219,443641441,0.253,19.141,65563,4819.0,616.557
5116905611.0,100.0,5008203635.0,5379629692.0,6113191258.0,6119726089.0,6119726089.0,5986396279.0,6119726089.0,6119726089.0,4701244694.0,331.42800000000005,0.226,4.4355746815606e+30,1.1070405388166e+32,-0.612,-1.393,0.0425,34.498000000000005,584.626,574.278,441579785,0.252,19.145,47579,3574.0,622.121
5181603706.0,100.0,5070520574.0,5451340818.0,6116458673.0,6119726089.0,6119726089.0,6019728731.0,6119726089.0,6119726089.0,4389461801.0,253.687,0.221,1.6143311333777e+31,1.1730143209295e+32,-0.628,-1.35,0.0416,34.141,580.918,569.244,438675553,0.251,19.131,50981,3332.0,632.056
5242127731.0,100.0,5132837513.0,5519031497.0,6118092381.0,6119726089.0,6119726089.0,6044728071.0,6119726089.0,6119726089.0,4330179138.0,241.97099999999998,0.318,2.3085280100415e+31,1.2242588336861e+32,-0.643,-1.186,0.0446,37.973,577.95,564.9730000000001,434878230,0.25,19.146,70026,3990.0,629.664
