activeaddresses,confirmationtime,difficulty30mom,difficulty3var,difficulty7mom,difficulty90var,difficulty90wma,fee_to_reward30stdUSD,fee_to_rewardUSD,hashrate3std,median_transaction_fee3trxUSD,median_transaction_feeUSD,mediantransactionvalueUSD,mining_profitability,mining_profitability90trx,price30emaUSD,price30smaUSD,price30varUSD,price30wmaUSD,price3emaUSD,price3momUSD,price3rocUSD,price3rsiUSD,price3wmaUSD,price7emaUSD,price7rocUSD,price7rsiUSD,price7smaUSD,price90smaUSD,top100cap,top100cap30roc,top100cap30rsi,top100cap30trx,top100cap7trx,top100cap90mom,top100cap90roc,top100cap90rsi,transactions,transactionvalueUSD,category
450435,9.172,27600415617.0,4.0359476204372e+19,14346289896.0,5.3700731656946e+19,69820329001.0,0.262,0.89,9.77648503703067e+16,0.8759999999999999,0.0463,151.534,2.4930000000000003,-0.057,400.77,386.401,2310.0,412.69,459.469,6.067,1.329,93.649,460.273,450.639,7.0760000000000005,90.272,452.51199999999994,320.607,19.697,-1.04,44.198,-0.022000000000000002,-0.039,-0.782,-3.819,48.294,213719,8497.0,0
365783,8.727,27600415617.0,3.413492817412e+19,14346289896.0,6.1356956537142e+19,70421334625.0,0.255,0.807,8.96182614733015e+16,0.45799999999999996,0.0454,222.668,2.468,-0.054000000000000006,404.181,390.85900000000004,2293.0,417.028,456.555,-1.4669999999999999,-0.322,44.477,457.58,451.39,4.104,71.72800000000001,455.06699999999995,323.11400000000003,19.689,-1.149,44.036,-0.021,-0.065,-0.818,-3.989,48.262,193682,9260.0,0
446717,9.664,27600415617.0,-12582912.0,14346289896.0,6.8725843498432e+19,71014009767.0,0.263,1.092,2.42980608667489e+16,-0.285,0.0437,249.933,2.205,-0.051,406.32800000000003,394.61400000000003,2206.0,420.035,447.01199999999994,-21.916999999999998,-4.771,18.35,447.046,447.909,-0.91,50.04600000000001,454.49300000000005,325.434,19.55,-1.7409999999999999,41.338,-0.021,-0.095,-0.948,-4.626,47.717,229295,10197.0,0
419228,9.6,27600415617.0,-12582912.0,14346289896.0,7.5807392540816e+19,71598354429.0,0.258,1.033,8.8146334861632e+16,-0.62,0.0439,244.393,2.508,-0.048,408.439,398.445,2092.0,422.901,443.029,-23.54,-5.0889999999999995,24.819000000000003,440.95300000000003,445.694,-3.8739999999999997,51.708999999999996,451.965,327.75199999999995,19.531,-1.7519999999999998,40.977,-0.021,-0.12300000000000001,-0.9109999999999999,-4.455,47.641999999999996,222567,9453.0,0
415266,9.172,27600415617.0,-12582912.0,14346289896.0,8.2601603664292e+19,72174368609.0,0.256,1.005,7.98989704895317e+16,-0.612,0.0441,258.198,2.333,-0.046,410.531,402.37800000000004,1946.0,425.63800000000003,441.94300000000004,-12.783,-2.818,33.832,439.689,444.485,-3.431,53.766999999999996,449.728,330.07,19.514,-1.821,40.665,-0.022000000000000002,-0.145,-0.8740000000000001,-4.285,47.577,220918,8950.0,0
409699,10.435,21386902218.0,-10485760.0,14346289896.0,8.9108476868864e+19,72742052309.0,0.258,1.043,7.00157524455586e+16,-0.11900000000000001,0.0454,291.35,2.2430000000000003,-0.043,413.342,406.82800000000003,1792.0,428.975,448.027,16.643,3.804,71.437,447.18199999999996,446.89099999999996,-0.21899999999999997,66.10600000000001,449.585,332.501,19.509,-1.834,40.567,-0.023,-0.159,-0.8640000000000001,-4.24,47.556999999999995,210090,10119.0,0
341093,8.889,20725890154.0,-10485760.0,12393836242.0,9.5328012154529e+19,73301405528.0,0.257,0.726,8.54441077584142e+16,0.21600000000000003,0.0455,308.91200000000003,2.875,-0.040999999999999995,415.999,411.233,1611.0,432.05199999999996,451.269,15.464,3.522,72.154,452.102,448.796,-1.061,66.422,448.889,334.95099999999996,19.463,-2.08,39.645,-0.024,-0.16899999999999998,-0.904,-4.438,47.369,180221,10161.0,0
370306,8.421,20725890154.0,-9437184.0,0.0,1.0126020952129e+20,73852428265.0,0.249,0.7290000000000001,1.35573161065334e+17,-0.392,0.0428,109.723,2.28,-0.039,416.8,414.098,1455.0,433.161,439.846,-12.434000000000001,-2.82,20.891,441.4,443.70300000000003,-7.385,38.88,444.00800000000004,337.11800000000005,19.508,-2.485,40.985,-0.025,-0.16899999999999998,-0.8540000000000001,-4.196000000000001,47.571999999999996,179192,6646.0,0
363200,7.024,20725890154.0,-9437184.0,0.0,1.0690506896914e+20,74395120522.0,0.273,0.526,2.04873486128622e+17,-1.081,0.0417,85.93799999999999,2.412,-0.036000000000000004,416.83,416.14099999999996,1339.0,433.365,428.555,-36.846,-8.113999999999999,14.35,427.19199999999995,437.093,-8.019,32.214,438.81199999999995,339.119,19.467,-0.846,40.156,-0.027000000000000003,-0.166,-0.888,-4.364,47.406000000000006,160066,3760.0,0
366698,9.536,20725890154.0,-9437184.0,0.0,1.1226259049809e+20,74929482298.0,0.268,0.8190000000000001,7.22285716741744e+16,-1.119,0.0424,124.794,1.964,-0.035,417.3,418.45,1210.0,433.879,426.334,-30.398000000000003,-6.688,33.514,422.54900000000004,433.848,-3.053,39.626,436.904,341.18800000000005,19.493,0.341,40.936,-0.027999999999999997,-0.158,-0.9,-4.412,47.523,172978,5340.0,0
370066,9.057,20725890154.0,-10485760.0,0.0,1.1733277410813e+20,75455513592.0,0.252,0.7829999999999999,1.40602271357903e+17,-0.8909999999999999,0.0425,123.618,2.365,-0.033,417.80300000000005,420.603,1095.0,434.30800000000005,425.715,-3.3280000000000003,-0.777,36.568000000000005,423.463,431.66,-3.178,40.71,434.911,343.279,19.483,0.436,40.729,-0.028999999999999998,-0.146,-0.9640000000000001,-4.713,47.482,184459,4983.0,0
373265,8.727,20725890154.0,-12582912.0,0.0,1.2227217232539e+20,75973214406.0,0.255,0.742,8.3228935779276e+16,-0.519,0.0429,107.50299999999999,2.325,-0.031,418.525,422.361,1029.0,434.849,427.351,11.722999999999999,2.8089999999999997,50.17100000000001,426.87800000000004,430.99199999999996,-2.6919999999999997,45.257,433.215,345.414,19.467,0.204,40.38,-0.031,-0.134,-0.97,-4.748,47.415,176282,5625.0,0
329915,10.141,26455962418.0,7.29638403354447e+18,5730072264.0,1.3038682486894e+20,76608682676.0,0.257,0.7140000000000001,3.79491385046297e+16,-0.35200000000000004,0.0425,104.33,2.0469999999999997,-0.03,418.969,424.30199999999996,923.725,435.046,426.385,1.305,0.308,38.742,426.55400000000003,429.599,-6.318,41.825,429.116,347.499,19.505,-2.654,41.592,-0.032,-0.11900000000000001,-0.8640000000000001,-4.24,47.59,155220,3189.0,0
