activeaddresses,activeaddresses30wma,activeaddresses7trx,confirmationtime,confirmationtime30sma,confirmationtime3ema,confirmationtime3wma,confirmationtime7wma,confirmationtime90ema,confirmationtime90wma,fee_to_reward3stdUSD,fee_to_reward7emaUSD,fee_to_reward7smaUSD,fee_to_rewardUSD,hashrate30mom,hashrate30trx,hashrate7std,median_transaction_feeUSD,mediantransactionvalue30emaUSD,mediantransactionvalue90trxUSD,mediantransactionvalueUSD,mining_profitability,price30rocUSD,price30rsiUSD,price3momUSD,price3rocUSD,price3rsiUSD,price3trxUSD,price7momUSD,price7rocUSD,price7rsiUSD,priceUSD,size3sma,size90mom,size90roc,size90sma,top100cap,top100cap90rsi,transactions,transactions3var,transactions7var,transactions90std,transactions90var,transactionvalueUSD,category
392740,469466.0,0.042,9.113999999999999,9.738,9.333,9.134,9.767999999999999,9.586,9.597000000000001,0.249,1.1,1.189,0.787,3.86958067190428e+18,0.41700000000000004,6.69627643305125e+18,0.0872,405.969,-0.56,337.68300000000005,0.33,-11.655999999999999,45.496,156.351,2.3680000000000003,89.301,0.645,370.44199999999995,5.7989999999999995,70.33,6759.0,490205.0,-137686.0,-22.266,644197.0,19.011,52.652,155527,356960490.0,402544955.0,41599.0,432628221,32551.0,0
521148,473157.0,-0.053,10.588,9.755,9.961,9.871,9.871,9.607999999999999,9.62,0.32799999999999996,1.115,1.166,1.159,3.71924130225714e+18,0.41,6.77504179340098e+18,0.10800000000000001,405.592,-0.561,400.11400000000003,0.294,-11.937999999999999,45.278,170.16,2.59,80.06,0.642,260.056,4.013999999999999,68.043,6739.0,608369.0,326539.0,56.02,647825.0,19.017,52.708,206410,458228895.0,422561538.0,41608.0,432806459,34185.0,0
560008,479103.0,0.174,9.664,9.699,9.812999999999999,9.881,9.73,9.61,9.622,0.379,1.14,1.07,1.213,6.66529429425283e+18,0.40299999999999997,5.59461731367216e+18,0.11,406.38199999999995,-0.563,417.85,0.313,-8.872,42.808,-95.10600000000001,-1.439,28.559,0.11800000000000001,-98.102,-1.483,47.227,6516.0,735167.0,281979.0,52.865,650959.0,19.033,52.861000000000004,215914,702888386.0,417915847.0,41723.0,435194445,35373.0,0
497821,480720.0,0.297,10.667,9.712,10.24,10.32,9.937999999999999,9.633,9.645,0.045,1.1540000000000001,1.06,1.198,4.93720061481582e+18,0.396,4.29659859074326e+18,0.11599999999999999,406.275,-0.564,404.719,0.285,-5.437,41.586999999999996,-359.02099999999996,-5.312,19.014,-0.441,-192.203,-2.9160000000000004,39.832,6400.0,854263.0,150086.0,21.818,652626.0,19.041,52.933,202468,31851144.0,404381398.0,41633.0,433316802,26640.0,0
608847,489444.0,0.711,10.213,9.721,10.226,10.273,10.035,9.646,9.658,0.15,1.127,1.046,1.047,1.36475784186872e+18,0.387,3.43206734262151e+18,0.11599999999999999,402.25800000000004,-0.5660000000000001,344.017,0.304,-7.718,40.09,-486.985,-7.226,11.632,-0.9520000000000001,-349.871,-5.2989999999999995,32.35,6252.0,840523.0,268774.0,44.836999999999996,655613.0,19.046,52.983999999999995,203394,37600310.0,413593576.0,41427.0,429043119,25186.0,1
678537,502435.0,1.389,10.07,9.721,10.148,10.217,10.106,9.655,9.668,0.129,1.1159999999999999,1.047,1.082,3.43762941825371e+18,0.37799999999999995,3.42855982039456e+18,0.113,399.415,-0.5670000000000001,358.185,0.29,-3.137,40.152,-259.35900000000004,-3.98,13.049000000000001,-1.084,-312.70599999999996,-4.76,32.762,6256.0,858154.0,180458.0,26.236,657618.0,19.035,52.869,207761,5327113.0,433971793.0,40845.0,417081607,26633.0,0
562124,507504.0,1.66,10.827,9.769,10.488,10.472000000000001,10.329,9.681000000000001,9.695,0.162,1.061,1.054,0.8959999999999999,-1.99634917860263e+18,0.36700000000000005,3.5021474182209e+18,0.0949,392.97,-0.568,299.52299999999997,0.298,-4.016,40.118,-146.295,-2.286,12.808,-0.977,-357.67800000000005,-5.41,32.580999999999996,6253.0,876473.0,168726.0,23.298000000000002,659492.0,19.044,52.949,176342,193114995.0,394537533.0,40787.0,415894878,26193.0,1
409465,502552.0,1.213,10.827,9.816,10.657,10.700999999999999,10.495,9.706,9.721,0.16899999999999998,1.023,1.072,0.9109999999999999,4.37214889281147e+17,0.354,3.28178982022879e+18,0.11699999999999999,390.92,-0.57,361.18300000000005,0.298,-3.427,41.519,89.494,1.431,50.506,-0.6,-416.728,-6.166,42.74100000000001,6342.0,798792.0,-107749.0,-14.503,658295.0,19.042,52.933,161018,378542954.0,335670876.0,41467.0,429888204,29376.0,1
483120,502640.0,0.763,12.0,9.927,11.329,11.414000000000001,10.892999999999999,9.756,9.773,0.61,1.155,1.128,1.551,-4.93238034835514e+18,0.34,3.28730707987609e+18,0.141,393.806,-0.5710000000000001,435.653,0.282,0.847,44.474,280.26599999999996,4.48,79.605,0.08199999999999999,-202.601,-3.0060000000000002,58.711000000000006,6537.0,756830.0,125407.0,20.326,659689.0,19.059,53.095,207722,377865888.0,339713924.0,41522.0,431012100,38201.0,1
551908,506919.0,0.5820000000000001,9.057,9.923,10.193,10.333,10.505,9.741,9.759,0.522,1.177,1.1320000000000001,1.24,-5.88890098480491e+18,0.324,2.88544795213966e+18,0.139,395.49800000000005,-0.5720000000000001,420.032,0.392,5.435,49.266000000000005,635.715,10.166,92.137,1.143,373.14300000000003,5.727,74.001,6889.0,699412.0,164563.0,29.590999999999998,661517.0,19.070999999999998,53.211999999999996,233807,906658818.0,478810454.0,42249.0,446241490,31249.0,1
642136,516618.0,0.805,8.276,9.906,9.234,9.157,9.943,9.709,9.728,0.257,1.2429999999999999,1.167,1.443,4.75297163299845e+18,0.314,5.38368428387793e+18,0.228,396.76300000000003,-0.573,415.11300000000006,0.38,13.284,55.213,1071.0,16.886,96.68299999999999,2.576,1013.0,15.832,84.17,7413.0,784652.0,370768.0,71.285,665637.0,19.083,53.339,238595,184054922.0,675142267.0,43014.0,462556974,35273.0,0
540081,519343.0,0.836,8.421,9.877,8.828,8.479,9.503,9.68,9.7,0.166,1.265,1.208,1.3319999999999999,4.92142275589206e+18,0.309,7.28283629959945e+18,0.192,395.134,-0.574,371.50800000000004,0.36200000000000004,9.829,55.038999999999994,862.322,13.192,94.54,2.924,1147.0,18.34,83.178,7399.0,735938.0,-78902.0,-11.687000000000001,664760.0,19.086,53.369,224868,32362355.0,727329346.0,43353.0,469878917,31708.0,1
517442,520472.0,0.7,9.351,9.879,9.089,8.862,9.36,9.673,9.693999999999999,0.21100000000000002,1.245,1.2229999999999999,1.186,4.98764135901166e+18,0.307,8.15215628609265e+18,0.166,396.504,-0.575,416.37300000000005,0.33299999999999996,10.925,55.369,541.044,7.854,94.92200000000001,2.623,1174.0,18.757,83.685,7430.0,712132.0,19387.0,3.0780000000000003,664975.0,19.125,53.753,225375,40383998.0,768349117.0,43746.0,478431807,30072.0,0
