activeaddresses,difficulty90mom,fee_to_rewardUSD,hashrate3mom,median_transaction_feeUSD,mining_profitability,price30emaUSD,price3wmaUSD,price7wmaUSD,price90emaUSD,transactionvalueUSD,priceUSD
428124,29771448240.0,3.555,1.02340019364431e+16,0.10800000000000001,0.629,600.999,609.151,610.414,594.2330000000001,5477.0,608.3480000000001
455846,29771448240.0,2.753,-1.0319852890568e+17,0.0952,0.737,601.415,608.122,609.094,594.524,4156.0,607.443
360162,29771448240.0,2.844,-7.41720151926912e+16,0.0962,0.684,601.8380000000001,607.8580000000001,608.494,594.819,5159.0,607.971
425006,19525423067.0,3.827,-1.69541617481932e+17,0.109,0.67,602.359,608.861,608.823,595.151,5660.0,609.9259999999999
468695,16379713584.0,3.497,-8.54329125269857e+16,0.11,0.725,602.769,608.988,608.75,595.4490000000001,5739.0,608.701
459657,16379713584.0,3.0380000000000003,5.01929914853089e+16,0.105,0.7490000000000001,602.456,603.513,605.995,595.503,4666.0,597.9159999999999
431972,16379713584.0,3.4389999999999996,2.68147557630282e+17,0.106,0.5920000000000001,602.158,599.68,603.6709999999999,595.555,6015.0,597.849
422012,16379713584.0,3.4139999999999997,-1.09084499420548e+17,0.0958,0.6890000000000001,601.984,598.6659999999999,602.174,595.641,6051.0,599.46
424429,16379713584.0,2.765,-1.24718221748049e+17,0.109,0.813,602.0740000000001,601.146,601.97,595.81,5874.0,603.368
399415,25283460078.0,2.101,4.42512911054278e+17,0.0904,0.623,602.1080000000001,602.335,601.722,595.96,5731.0,602.605
479715,31774041635.0,3.07,4.51225130547579e+17,0.0907,0.602,602.2719999999999,603.752,602.175,596.151,5968.0,604.645
489447,31774041635.0,2.931,2.61299089289067e+17,0.0909,0.706,602.505,604.925,603.127,596.365,4473.0,605.886
462481,31774041635.0,3.383,-3.57319470244285e+17,0.0957,0.601,602.653,605.137,603.909,596.55,6551.0,604.8009999999999
460805,31774041635.0,3.695,-2.28149105053703e+17,0.0957,0.639,602.7819999999999,604.906,604.406,596.7280000000001,4579.0,604.65
499898,31774041635.0,3.715,-1.99623089895578e+17,0.0957,0.6779999999999999,602.918,604.797,604.722,596.908,5939.0,604.894
445128,31774041635.0,2.908,-3914117203186944.0,0.0967,0.643,603.475,608.186,606.51,597.23,4389.0,611.559
404625,31669518012.0,2.944,1.22711093515301e+17,0.0966,0.591,603.945,610.048,607.805,597.5269999999999,4500.0,610.758
567947,27828274899.0,3.835,-2.9364100318208e+16,0.0972,0.742,604.382,610.873,608.8,597.817,4701.0,610.721
522537,27828274899.0,3.4739999999999998,-2.02796012000292e+16,0.0964,0.655,604.702,610.035,609.232,598.07,4388.0,609.337
508775,27828274899.0,3.3710000000000004,6.65649921672847e+16,0.0991,0.6779999999999999,605.075,610.138,609.826,598.3430000000001,5268.0,610.4780000000001
535241,27828274899.0,3.721,3.38338177531168e+17,0.0967,0.654,605.462,610.585,610.365,598.623,5100.0,611.072
504849,27828274899.0,3.877,-7.18445488838485e+16,0.0971,0.623,605.997,612.318,611.3480000000001,598.955,5474.0,613.763
486564,37141262377.0,3.0989999999999998,3.31373482736507e+16,0.0976,0.68,606.722,615.0509999999999,612.883,599.357,5852.0,617.237
445996,45123823073.0,2.833,1.41794627065104e+17,0.0975,0.606,607.3580000000001,616.33,614.0509999999999,599.736,7902.0,616.581
430931,45123823073.0,4.195,3.96919591711831e+16,0.11599999999999999,0.5329999999999999,607.935,616.548,614.939,600.1,7188.0,616.2959999999999
531545,45123823073.0,4.444,-2.57744001771791e+17,0.114,0.6679999999999999,609.4630000000001,624.006,619.46,600.7919999999999,6863.0,631.621
463491,45123823073.0,3.659,-3.24912941344093e+17,0.10800000000000001,0.672,611.26,631.9119999999999,624.6080000000001,601.595,7452.0,637.312
448239,45123823073.0,4.0280000000000005,-1.75044697627368e+17,0.10099999999999999,0.625,612.841,635.59,628.41,602.346,5778.0,635.764
463279,45123823073.0,3.8489999999999998,6.41544607483991e+16,0.10099999999999999,0.631,614.368,636.4,631.52,603.097,5366.0,636.521
413503,45123823073.0,3.409,-1.9495041925399e+16,0.10400000000000001,0.6709999999999999,615.971,637.74,634.49,603.891,10353.0,639.211
402396,45120661729.0,3.4219999999999997,5.5645156576341e+16,0.11599999999999999,0.615,617.508,639.054,636.82,604.68,7958.0,639.793
