activeaddresses30mom,confirmationtime30ema,confirmationtime3ema,confirmationtime7wma,confirmationtime90ema,hashrate30roc,hashrate3std,hashrate7trx,hashrate90mom,hashrate90roc,hashrate90rsi,median_transaction_fee3trxUSD,median_transaction_fee7rocUSD,median_transaction_feeUSD,mediantransactionvalue7rsiUSD,mediantransactionvalue90smaUSD,mediantransactionvalue90trxUSD,mediantransactionvalueUSD,mining_profitability,mining_profitability3roc,mining_profitability3sma,mining_profitability3wma,mining_profitability7std,price3rsiUSD,price7momUSD,price7varUSD,sentbyaddress30var,sentinusdUSD,size30rsi,size30std,size30trx,size3mom,top100cap,category
-20230,9.846,9.584,10.09,9.825,12.452,5.14647978236322e+16,-0.223,7.76415359921795e+16,20.663,51.896,1.4869999999999999,0.743,0.023,66.67699999999999,81.6,0.04,99.52,2.02,-1.213,2.002,2.017,0.193,56.452,1.699,2.477,178930997,289911373.0,48.208,260337.0,0.20600000000000002,-19458.0,20.441,1
-1784,9.875,9.935,10.099,9.835,7.827000000000001,1.60301349504815e+16,-0.045,5.14599186449944e+16,13.439,51.438,1.21,133.039,0.0232,69.827,81.932,0.036000000000000004,110.16,1.8840000000000001,-2.371,1.9869999999999999,1.9580000000000002,0.171,72.44,1.5519999999999998,2.863,180039721,281582169.0,48.88,260290.0,0.20800000000000002,-114673.0,20.387999999999998,1
5476,9.804,9.357999999999999,9.721,9.812000000000001,16.948,2.11981751844266e+16,0.184,1.21268575059343e+17,35.888000000000005,51.997,1.099,0.966,0.0235,67.389,82.429,0.034,106.67,2.115,2.864,2.006,2.022,0.201,85.62700000000001,2.252,4.989,182069140,320123674.0,47.534,257190.0,0.20199999999999999,-57468.0,20.373,0
35946,9.804,9.577,9.633,9.811,16.017,3.12461406391293e+16,0.442,1.2564176775742e+17,36.274,52.284,0.855,1.063,0.0234,49.099,82.49700000000001,0.031,74.749,1.835,-9.185,1.945,1.936,0.18899999999999997,66.26899999999999,2.463,6.129,184727861,238535521.0,47.75899999999999,257238.0,0.191,-22063.0,20.366,0
10469,9.795,9.621,9.574,9.808,9.668,3.58936963709767e+16,0.505,9.31758774213186e+16,27.730999999999998,51.248000000000005,0.575,1.069,0.0233,49.778,82.04899999999999,0.027999999999999997,76.111,2.0380000000000003,8.147,1.996,1.983,0.188,56.403,2.469,6.568,188068420,176113324.0,47.872,255471.0,0.17600000000000002,-45647.0,20.362000000000002,1
66562,9.812000000000001,9.845,9.673,9.814,-7.718,5.32579302086159e+16,0.39,5.23094345105866e+16,14.707,50.745,0.56,3.995,0.0237,66.04899999999999,80.992,0.026000000000000002,118.08200000000001,2.093,-1.028,1.989,2.032,0.196,80.99,9.11,7.064,180910235,351668924.0,49.75,245474.0,0.162,85879.0,20.355,1
49769,9.713,9.061,9.353,9.78,17.816,6.7938800040325e+16,0.508,1.25672040886235e+17,34.659,52.53,0.557,4.044,0.0238,68.179,81.433,0.025,125.514,2.133,16.267,2.088,2.104,0.214,83.956,9.248,6.066,189507197,402221532.0,48.506,238664.0,0.145,27022.0,20.393,0
25949,9.714,9.395,9.429,9.779,11.078,7.13351178026577e+16,0.657,1.38304336052556e+17,40.717,52.285,0.429,2.805,0.0237,58.977,81.138,0.024,109.67,1.847,-9.371,2.024,1.983,0.245,64.154,6.462000000000001,3.892,198007884,335851177.0,49.788000000000004,236306.0,0.129,71999.0,20.447,1
-20482,9.711,9.53,9.466000000000001,9.776,13.727,3.17138348729431e+16,0.685,5.45216559719276e+16,13.762,51.637,0.298,2.0069999999999997,0.0237,65.248,81.441,0.024,127.82799999999999,1.973,-5.73,1.984,1.9580000000000002,0.23,64.53399999999999,4.66,2.509,198969490,372921443.0,48.354,235999.0,0.11199999999999999,-57482.0,20.437,1
11881,9.758,9.982000000000001,9.718,9.791,-7.2010000000000005,6.77399772649471e+16,0.452,2.52099461841704e+16,6.79,50.38399999999999,0.239,1.033,0.0238,56.693999999999996,81.971,0.025,112.46700000000001,2.084,-2.298,1.9680000000000002,2.008,0.222,74.773,2.432,2.784,201261141,408358236.0,50.203,224118.0,0.096,63298.0,20.368,1
-36823,9.769,9.957,9.786,9.794,7.75,4.70396380134469e+16,0.299,6.35712264971879e+16,16.866,51.353,0.223,1.85,0.0238,42.418,81.094,0.025,78.666,1.973,6.858,2.01,2.01,0.18,81.209,4.33,2.313,218020879,238265135.0,46.885,230257.0,0.076,-121309.0,20.229,1
57028,9.746,9.684,9.718,9.786,8.446,5.78100667555724e+16,0.292,6.71149930518629e+16,16.804000000000002,51.915,0.214,2.307,0.0239,43.431000000000004,80.458,0.025,80.727,1.9680000000000002,-0.273,2.008,1.989,0.183,84.859,5.3839999999999995,0.483,211996419,206171110.0,46.413999999999994,228444.0,0.051,-84531.0,20.221,0
-27373,9.724,9.548,9.66,9.777000000000001,5.919,2.21121650225467e+16,0.319,9.4970300771281e+16,26.019000000000002,51.763000000000005,0.18,0.674,0.0239,53.681999999999995,80.109,0.025,102.943,1.9969999999999999,-4.167,1.98,1.983,0.17,80.86399999999999,1.599,0.545,218959127,325419595.0,47.781000000000006,230039.0,0.025,-104783.0,20.215999999999998,1
17484,9.751,9.844,9.807,9.785,3.949,1.77866981588838e+16,0.298,7.53910233328726e+16,20.384,51.42100000000001,0.369,2.185,0.0243,61.138000000000005,79.80199999999999,0.026000000000000002,123.10700000000001,1.953,-1.058,1.973,1.97,0.129,96.492,5.199,3.903,198574650,420297259.0,50.843,224681.0,0.004,149896.0,20.22,1
131910,9.821,10.335999999999999,10.06,9.808,4.482,3.69627901348762e+16,0.151,5.27239980487887e+16,14.532,50.736000000000004,0.555,3.545,0.0245,54.806999999999995,79.96600000000001,0.027999999999999997,110.704,1.9769999999999999,0.48100000000000004,1.976,1.972,0.081,97.794,8.396,8.264,200444662,356082859.0,54.191,228348.0,-0.004,313795.0,20.205,0
-13580,9.851,10.311,10.137,9.818999999999999,1.7309999999999999,2.76386260050176e+16,-0.026000000000000002,6.57809274038037e+16,18.764,50.754,0.495,2.8710000000000004,0.0244,50.375,80.396,0.028999999999999998,101.67200000000001,2.064,3.359,1.9980000000000002,2.017,0.095,69.419,6.8020000000000005,8.202,215238127,488375666.0,53.451,225947.0,-0.004,234970.0,20.265,0
227575,9.952,10.87,10.479000000000001,9.854,6.087999999999999,5290494162708928.0,-0.16899999999999998,3.74832893602827e+16,9.761000000000001,50.87,0.369,2.483,0.0244,48.997,80.97800000000001,0.031,98.98100000000001,1.834,-6.074,1.959,1.935,0.128,68.046,5.902,7.255,238337005,309151271.0,51.815,217174.0,0.0,52408.0,20.256,1
81543,9.891,9.935,10.177,9.835,-12.194,8180179800523330.0,-0.308,5.3165910011799e+16,14.837,50.635,0.3,2.6,0.0245,33.849000000000004,81.515,0.032,61.227,2.392,20.987,2.097,2.1519999999999997,0.325,77.006,6.1979999999999995,6.151,231225541,290436487.0,52.706,212396.0,0.009000000000000001,-53868.0,20.246,1
1723,9.889,9.899,10.125,9.836,0.782,6.23728889553748e+16,-0.17,1.31822290401145e+17,37.635,52.206,0.299,2.9389999999999996,0.0246,45.153999999999996,81.985,0.033,82.801,1.871,-9.369,2.032,2.039,0.341,85.118,7.017,4.656000000000001,263628316,238335849.0,50.361999999999995,204945.0,0.017,-117051.0,20.241,1
28861,9.905,10.02,10.126,9.843,4.728,5.90610182388841e+16,-0.106,5.62870372915821e+16,14.936,51.067,0.311,3.315,0.0247,56.424,82.11,0.035,110.788,2.036,11.012,2.1,2.04,0.341,89.01899999999999,7.914,1.415,243685844,344985193.0,51.195,200516.0,0.026000000000000002,-19956.0,20.186,1
-18860,9.945,10.265,10.193999999999999,9.857000000000001,6.086,5.55394659781564e+16,-0.141,4.43614759171502e+16,11.914000000000001,50.691,0.319,1.755,0.0247,48.868,82.12100000000001,0.036000000000000004,92.73899999999999,2.048,-14.379000000000001,1.985,2.015,0.337,91.95100000000001,4.268,1.764,238252328,412011459.0,50.678999999999995,198206.0,0.035,-77435.0,20.178,1
5835,9.914,9.87,9.988999999999999,9.849,-2.186,2.72116685920111e+16,-0.091,8.32638515065182e+16,22.701999999999998,51.424,0.48,2.455,0.0251,55.32,82.215,0.038,109.421,2.137,14.216,2.074,2.0909999999999997,0.341,97.34299999999999,6.022,6.1579999999999995,241902703,425102059.0,49.918,182996.0,0.042,-15049.0,20.172,1
49210,9.834,9.272,9.632,9.823,10.423,4.96208705688113e+16,0.086,1.18358501190098e+17,32.966,52.016000000000005,0.68,4.426,0.0254,61.165,82.874,0.04,126.479,2.227,9.402999999999999,2.138,2.167,0.36200000000000004,98.54700000000001,10.787,12.86,344215249,502036863.0,50.236000000000004,172169.0,0.049,-37010.0,20.204,1
42337,9.845,9.636000000000001,9.665,9.827,6.706,2.51582924904811e+16,0.28300000000000003,8.22508966568415e+16,20.889,51.983000000000004,0.968,6.666,0.026000000000000002,57.325,83.956,0.042,118.993,1.9809999999999999,-3.29,2.115,2.089,0.318,99.322,16.239,26.307,374499430,477869562.0,51.302,164132.0,0.055999999999999994,22769.0,20.230999999999998,1
69524,9.892999999999999,10.112,9.895,9.844,6.268,5.68012146383683e+16,0.24,3.58804913616775e+16,9.427999999999999,50.611999999999995,1.4580000000000002,10.04,0.0269,43.525,84.714,0.045,86.587,2.215,3.638,2.141,2.1390000000000002,0.23800000000000002,99.715,24.555999999999997,62.04,416919877,406798831.0,51.885,152349.0,0.065,73654.0,20.246,0
10664,9.895,10.022,9.905,9.846,-1.515,5.26726495348656e+16,0.129,4.44324280647102e+16,11.683,50.794,1.411,8.509,0.0267,41.513999999999996,84.86200000000001,0.047,80.99600000000001,2.291,2.845,2.162,2.214,0.214,81.335,20.915,69.546,415949185,280710480.0,49.98,151781.0,0.07200000000000001,-5415.0,20.22,0
68676,9.82,9.374,9.611,9.821,20.352999999999998,6.10515865410462e+16,0.218,1.25578853926954e+17,34.943000000000005,52.096000000000004,0.997,6.9479999999999995,0.0264,57.547,85.589,0.049,120.15700000000001,2.259,14.044,2.255,2.262,0.213,60.76,17.137,57.188,427487865,385603023.0,49.361999999999995,150756.0,0.077,-67435.0,20.173,1
61553,9.912,10.312000000000001,9.998,9.852,17.607,5.53835155521338e+16,0.171,6.79606576291797e+16,18.886,50.806000000000004,0.789,8.007,0.0267,53.123000000000005,86.09899999999999,0.052000000000000005,109.959,2.019,-8.857999999999999,2.189,2.144,0.223,72.793,19.811,39.867,473971667,415427049.0,54.106,161871.0,0.08800000000000001,89574.0,20.199,1
