difficulty,fee_to_rewardUSD,hashrate3std,mediantransactionvalue90smaUSD,mediantransactionvalueUSD,mining_profitability7rsi,price30wmaUSD,price3wmaUSD,price7wmaUSD,price90momUSD,sentinusd30varUSD,transactionfeesUSD,priceUSD
47643398018.0,0.391,2.73066245039652e+16,57.768,73.471,57.542,230.625,235.84799999999998,236.39700000000002,12.171,2517149824086256.0,0.0332,234.61900000000003
47643398018.0,0.452,2.51529938064943e+16,57.68899999999999,73.854,40.983999999999995,230.668,233.56599999999997,235.489,12.262,2573804197370304.0,0.0335,232.19799999999998
47643398018.0,0.441,1.65631801264959e+16,57.88,64.586,54.442,231.261,236.52200000000002,236.518,14.175999999999998,2569450979078880.0,0.0365,240.03900000000002
47643398018.0,0.413,4.16418585192302e+16,58.001000000000005,50.791000000000004,49.919,232.041,240.033,238.021,17.74,2566451600470568.0,0.0342,242.641
47643398018.0,0.48200000000000004,3.37289120033502e+16,58.349,75.084,52.18600000000001,232.74099999999999,241.571,238.91099999999997,20.424,2570908211318568.0,0.0421,241.37
47643398018.0,0.43700000000000006,2.9031283281672e+16,58.91,104.68299999999999,60.972,233.43900000000002,241.63,239.75900000000001,23.291,2262559696898544.0,0.0376,241.467
47643398018.0,0.42700000000000005,5.83022111749135e+16,59.426,101.083,45.824,234.127,241.46400000000003,240.56400000000002,20.908,1594975971888304.0,0.0353,241.493
47643398018.0,0.381,3.05301188524693e+16,59.486000000000004,77.334,55.494,234.84900000000002,241.845,241.33599999999998,22.868000000000002,1533215696050520.0,0.0345,242.205
47643398018.0,0.364,1.61541878432201e+16,59.687,68.751,49.83,235.173,239.167,240.377,4.6739999999999995,1477400178199248.0,0.0328,236.365
47643398018.0,0.41,7560274276357986.0,59.957,61.583,44.47,235.518,237.767,239.483,-8.936,1305453439764776.0,0.0342,237.222
47643398018.0,0.396,3.58805807097212e+16,59.982,46.832,45.523,235.808,236.93200000000002,238.61599999999999,-13.306,1506138470620000.0,0.0343,236.928
48228846401.0,0.306,4.35589602594975e+16,60.001999999999995,48.20399999999999,56.666000000000004,236.06799999999998,236.921,237.926,2.283,1898528932261768.0,0.0356,236.81599999999997
48807487245.0,0.41100000000000003,4.05709296852403e+16,60.121,66.828,47.13399999999999,236.255,236.479,237.22,-2.605,1704410689027128.0,0.0356,236.105
48807487245.0,0.48100000000000004,3.17101314298977e+16,60.833999999999996,116.615,40.743,236.21200000000002,234.66,235.924,-6.55,1687592633252272.0,0.0341,232.979
48807487245.0,0.414,1.54962788313142e+16,61.43600000000001,105.54899999999999,52.868,236.167,233.638,235.002,-4.5760000000000005,1648716563292344.0,0.0329,233.25599999999997
48807487245.0,0.373,3.7173970553707e+16,62.03,104.25,48.588,236.218,234.114,234.851,-7.926,1656479493458000.0,0.0347,235.065
48807487245.0,0.44299999999999995,3.59993583124065e+16,62.585,97.448,46.35,236.37599999999998,235.739,235.235,-7.1,1668807663856840.0,0.0354,237.015
48807487245.0,0.45399999999999996,4.08337880970411e+16,63.042,80.779,36.705999999999996,236.72299999999998,238.18400000000003,236.372,-1.199,1685076663400672.0,0.0355,240.003
48807487245.0,0.37,3.46139203446457e+16,63.038999999999994,48.95399999999999,61.94,237.047,239.43,237.363,3.734,1837476362135280.0,0.0345,239.85299999999998
48807487245.0,0.439,4.99109724357516e+16,63.086999999999996,71.82600000000001,46.753,237.275,239.263,237.937,0.555,1811246644576160.0,0.035,238.622
48807487245.0,0.5,4.9328800698498e+16,63.325,79.237,52.897,237.4,238.202,238.109,0.366,1810241531910320.0,0.0396,237.372
48807487245.0,0.462,2.61063427648799e+16,63.617,78.976,48.305,237.49,237.61599999999999,238.142,1.47,1748430801882696.0,0.0352,237.44299999999998
48807487245.0,0.491,1.23944104119909e+16,63.751000000000005,78.596,48.222,237.53099999999998,237.321,237.97,-13.125,1664229147085392.0,0.0348,237.222
48807487245.0,0.462,3.2498311391067e+16,63.808,52.43899999999999,51.2,237.524,237.093,237.637,-15.82,1601458563417376.0,0.0341,236.889
48807487245.0,0.499,4.34794994203737e+16,63.638000000000005,28.517,52.328,237.32299999999998,235.632,236.653,-17.215,1588159317340016.0,0.0313,234.263
48535929332.0,1.057,4.21789695573738e+16,63.731,79.132,50.354,236.99,233.718,235.382,-30.188000000000002,1538094115702440.0,0.0929,232.298
47589591154.0,0.46799999999999997,3.6718799515713e+16,66.789,115.141,48.036,231.21099999999998,227.56,226.37400000000002,-64.49600000000001,2036617679210976.0,0.0335,229.47400000000002
47589591154.0,0.474,2.36296800339749e+16,67.141,106.21700000000001,54.498999999999995,230.917,228.791,227.196,-65.043,2082657418223328.0,0.0351,229.253
47589591154.0,0.515,1.15596355405654e+16,67.556,100.64200000000001,41.108000000000004,230.685,229.56400000000002,228.042,-61.21,2133418125940024.0,0.0333,229.8
47589591154.0,0.515,5.54134346513943e+16,68.044,92.65899999999999,53.496,230.52700000000002,230.093,228.926,-52.797,2252155149451048.0,0.0334,230.56900000000002
47589591154.0,0.424,5.17232478035999e+16,68.476,79.41199999999999,54.193000000000005,230.412,230.572,229.665,-53.06399999999999,2253500360132552.0,0.0369,230.832
49124063328.0,0.431,5.19859226818038e+16,68.449,64.657,45.961000000000006,230.484,232.15099999999998,230.88099999999997,-57.261,2301154918316512.0,0.0363,233.55700000000002
49692386355.0,0.55,2.49171862963621e+16,68.702,91.012,48.383,230.69799999999998,234.138,232.305,-53.199,2358353094632568.0,0.0362,235.62599999999998
49692386355.0,0.6779999999999999,5.14703388694548e+16,69.086,101.152,45.205,231.31400000000002,238.37599999999998,234.93400000000003,-31.801,3024535005569648.0,0.0401,241.81599999999997
